SagaId,SagaName,MoySimple,MoyTrapeze,Std,Min,Max,NbEps
1,East Blue,7.545901639344262,7.543333333333335,0.3968936761450533,6.2,8.1,61
2,Alabasta,7.689189189189188,7.692465753424655,0.3904923367839693,6.9,8.3,74
3,Sky Island,7.661971830985915,7.66857142857143,0.3292268853728594,6.6,8.2,71
4,Water 7,7.597478991596635,7.596610169491528,0.41445536752894235,6.1,8.2,119
5,Thriller Bark,7.3864406779661005,7.392241379310345,0.4840410452525565,5.7,8.1,59
6,Summit War,7.61363636363636,7.611832061068701,0.3356144478399132,6.2,8.2,132
7,Fish-Man Island,7.358620689655174,7.358771929824562,0.2629351749597131,6.6,8.1,58
8,Dressrosa,7.57848837209302,7.579532163742688,0.31539826282255634,6.3,8.2,172
9,Quatre Empereurs,7.82408759124088,7.834558823529413,0.6218479986683495,5.2,9.6,137
